 GRD LAT LON SQ1 SQ2     LAT      LON      BOX    %   TOPOG  VEG               
1612  24  86 101 101    58.75   250.24   77343     0      0   0                
1613  24  87 102 102    58.75   253.17   77343     0      0   0                
1614  24  88 103 103    58.75   256.10   77343     0      0   0                
1615  24  89 104 104    58.75   259.02   77343     0      0   0                
1616  24  90 105 105    58.75   261.95   77343     0      0   0                
1617  24  91 106 107    58.75   264.88   77343     0      0   0                
1618  24  92 108 108    58.75   267.80   77343     0      0   0                
1619  24  93 109 109    58.75   270.73   77343     0      0   0                
1620  24  94 110 110    58.75   273.66   77343     0      0   0                
1621  24  95 111 111    58.75   276.59   77343     0      0   0                
1622  24  96 112 112    58.75   279.51   77343     0      0   0                
1623  24  97 113 114    58.75   282.44   77343     0      0   0                
1624  24  98 115 115    58.75   285.37   77343     0      0   0                
1625  24  99 116 116    58.75   288.29   77343    51    883   0                
1626  24 100 117 117    58.75   291.22   77343   100   1828   6                
1627  24 101 118 118    58.75   294.15   77343   100    609   6                
1628  24 102 119 119    58.75   297.07   77343   100    182   6                
1629  24 103 120 121    58.75   300.00   77343   100     30   1                
1630  24 104 122 122    58.75   302.93   77343   100    121   4                
1631  24 105 123 123    58.75   305.85   77343   100    152   4                
1632  24 106 124 124    58.75   308.78   77343    47     30   0                
1633  24 107 125 125    58.75   311.71   77343     0      0   0                
1634  24 108 126 126    58.75   314.63   77343     0      0   0                
1635  24 109 127 128    58.75   317.56   77343     0      0   0                
1636  24 110 129 129    58.75   320.49   77343     0      0   0                
1637  24 111 130 130    58.75   323.41   77343     0      0   0                
1638  24 112 131 131    58.75   326.34   77343     0      0   0                
1639  24 113 132 132    58.75   329.27   77343     0      0   0                
1640  24 114 133 133    58.75   332.19   77343     0      0   0                
1641  24 115 134 135    58.75   335.12   77343     0      0   0                
1642  24 116 136 136    58.75   338.05   77343     0      0   0                
1643  24 117 137 137    58.75   340.98   77343     0      0   0                
1644  24 118 138 138    58.75   343.90   77343     0      0   0                
1645  24 119 139 139    58.75   346.83   77343     0      0   0                
1646  24 120 140 140    58.75   349.76   77343     0      0   0                
1647  24 121 141 142    58.75   352.68   77343     0      0   0                
1648  24 122 143 143    58.75   355.61   77343     0      0   0                
1649  24 123 144 144    58.75   358.54   77343     0      0   0                
1650  25   1   1   1    61.25     1.43   77428     0      0   0                
1651  25   2   2   2    61.25     4.29   77428     0      0   0                
1652  25   3   3   3    61.25     7.14   77428     0      0   0                
1653  25   4   4   5    61.25    10.00   77428     0      0   0                
1654  25   5   6   6    61.25    12.86   77428     0      0   0                
1655  25   6   7   7    61.25    15.71   77428    33     91   0                
1656  25   7   8   8    61.25    18.57   77428   100    792   6                
1657  25   8   9   9    61.25    21.43   77428   100    944   6                
1658  25   9  10  10    61.25    24.29   77428   100   1219   6                
1659  25  10  11  11    61.25    27.14   77428   100   1615   4                
1660  25  11  12  13    61.25    30.00   77428    97   1280   4                
1661  25  12  14  14    61.25    32.86   77428    21     30   0                
1662  25  13  15  15    61.25    35.71   77428     0      0   0                
1663  25  14  16  16    61.25    38.57   77428     0      0   0                
1664  25  15  17  17    61.25    41.43   77428     0      0   0                
1665  25  16  18  18    61.25    44.29   77428     0      0   0                
1666  25  17  19  19    61.25    47.14   77428     0      0   0                
1667  25  18  20  21    61.25    50.00   77428     0      0   0                
1668  25  19  22  22    61.25    52.86   77428     0      0   0                
1669  25  20  23  23    61.25    55.71   77428     0      0   0                
1670  25  21  24  24    61.25    58.57   77428     0      0   0                
1671  25  22  25  25    61.25    61.43   77428     0      0   0                
1672  25  23  26  26    61.25    64.29   77428     0      0   0                
1673  25  24  27  27    61.25    67.14   77428     0      0   0                
1674  25  25  28  29    61.25    70.00   77428     0      0   0                
1675  25  26  30  30    61.25    72.86   77428     0      0   0                
1676  25  27  31  31    61.25    75.71   77428     0      0   0                
1677  25  28  32  32    61.25    78.57   77428     0      0   0                
1678  25  29  33  33    61.25    81.43   77428     0      0   0                
1679  25  30  34  34    61.25    84.29   77428     0      0   0                
1680  25  31  35  35    61.25    87.14   77428     0      0   0                
1681  25  32  36  37    61.25    90.00   77428     0      0   0                
1682  25  33  38  38    61.25    92.86   77428     0      0   0                
1683  25  34  39  39    61.25    95.71   77428     0      0   0                
1684  25  35  40  40    61.25    98.57   77428     0      0   0                
1685  25  36  41  41    61.25   101.43   77428     0      0   0                
1686  25  37  42  42    61.25   104.29   77428     0      0   0                
1687  25  38  43  43    61.25   107.14   77428     0      0   0                
1688  25  39  44  45    61.25   110.00   77428     0      0   0                
1689  25  40  46  46    61.25   112.86   77428     3      0   0                
1690  25  41  47  47    61.25   115.71   77428    90    274   6                
1691  25  42  48  48    61.25   118.57   77428   100    457   6                
1692  25  43  49  49    61.25   121.43   77428   100    487   6                
1693  25  44  50  50    61.25   124.29   77428   100    426   6                
1694  25  45  51  51    61.25   127.14   77428   100    365   7                
1695  25  46  52  53    61.25   130.00   77428   100    335   7                
1696  25  47  54  54    61.25   132.86   77428   100    243   6                
1697  25  48  55  55    61.25   135.71   77428   100    121   4                
1698  25  49  56  56    61.25   138.57   77428   100     30   4                
1699  25  50  57  57    61.25   141.43   77428   100     91   4                
1700  25  51  58  58    61.25   144.29   77428   100    121   6                
1701  25  52  59  59    61.25   147.14   77428   100    152   4                
1702  25  53  60  61    61.25   150.00   77428   100    304   4                
1703  25  54  62  62    61.25   152.86   77428    70    304   3                
1704  25  55  63  63    61.25   155.71   77428     0      0   0                
1705  25  56  64  64    61.25   158.57   77428     0      0   0                
1706  25  57  65  65    61.25   161.43   77428     0      0   0                
1707  25  58  66  66    61.25   164.29   77428     0      0   0                
1708  25  59  67  67    61.25   167.14   77428     0      0   0                
1709  25  60  68  69    61.25   170.00   77428     0      0   0                
1710  25  61  70  70    61.25   172.86   77428     0      0   0                
1711  25  62  71  71    61.25   175.71   77428     0      0   0                
1712  25  63  72  72    61.25   178.57   77428     0      0   0                
1713  25  64  73  73    61.25   181.43   77428     0      0   0                
1714  25  65  74  74    61.25   184.29   77428     0      0   0                
1715  25  66  75  75    61.25   187.14   77428     0      0   0                
1716  25  67  76  77    61.25   190.00   77428     0      0   0                
1717  25  68  78  78    61.25   192.86   77428     0      0   0                
1718  25  69  79  79    61.25   195.71   77428     0      0   0                
1719  25  70  80  80    61.25   198.57   77428     0      0   0                
1720  25  71  81  81    61.25   201.43   77428     0      0   0                
1721  25  72  82  82    61.25   204.29   77428     0      0   0                
1722  25  73  83  83    61.25   207.14   77428     0      0   0                
1723  25  74  84  85    61.25   210.00   77428     0      0   0                
1724  25  75  86  86    61.25   212.86   77428     0      0   0                
1725  25  76  87  87    61.25   215.71   77428     0      0   0                
1726  25  77  88  88    61.25   218.57   77428     0      0   0                
1727  25  78  89  89    61.25   221.43   77428     0      0   0                
1728  25  79  90  90    61.25   224.29   77428     0      0   0                
1729  25  80  91  91    61.25   227.14   77428     0      0   0                
1730  25  81  92  93    61.25   230.00   77428     0      0   0                
1731  25  82  94  94    61.25   232.86   77428     0      0   0                
1732  25  83  95  95    61.25   235.71   77428     0      0   0                
1733  25  84  96  96    61.25   238.57   77428     0      0   0                
1734  25  85  97  97    61.25   241.43   77428     0      0   0                
1735  25  86  98  98    61.25   244.29   77428     0      0   0                
1736  25  87  99  99    61.25   247.14   77428     0      0   0                
1737  25  88 100 101    61.25   250.00   77428     0      0   0                
1738  25  89 102 102    61.25   252.86   77428     0      0   0                
1739  25  90 103 103    61.25   255.71   77428     0      0   0                
1740  25  91 104 104    61.25   258.57   77428     0      0   0                
1741  25  92 105 105    61.25   261.43   77428     0      0   0                
1742  25  93 106 106    61.25   264.29   77428     0      0   0                
1743  25  94 107 107    61.25   267.14   77428     0      0   0                
1744  25  95 108 109    61.25   270.00   77428     0      0   0                
1745  25  96 110 110    61.25   272.86   77428     0      0   0                
1746  25  97 111 111    61.25   275.71   77428     0      0   0                
1747  25  98 112 112    61.25   278.57   77428     0      0   0                
1748  25  99 113 113    61.25   281.43   77428     0      0   0                
1749  25 100 114 114    61.25   284.29   77428     0      0   0                
1750  25 101 115 115    61.25   287.14   77428     4      0   0                
1751  25 102 116 117    61.25   290.00   77428    97   2651   6                
1752  25 103 118 118    61.25   292.86   77428   100   1523   6                
1753  25 104 119 119    61.25   295.71   77428   100    274   6                
1754  25 105 120 120    61.25   298.57   77428   100     60   6                
1755  25 106 121 121    61.25   301.43   77428   100     60   1                
1756  25 107 122 122    61.25   304.29   77428   100    121   1                
1757  25 108 123 123    61.25   307.14   77428   100    396   2                
1758  25 109 124 125    61.25   310.00   77428    78    487   4                
1759  25 110 126 126    61.25   312.86   77428     1      0   0                
1760  25 111 127 127    61.25   315.71   77428     0      0   0                
1761  25 112 128 128    61.25   318.57   77428     0      0   0                
1762  25 113 129 129    61.25   321.43   77428     0      0   0                
1763  25 114 130 130    61.25   324.29   77428     0      0   0                
1764  25 115 131 131    61.25   327.14   77428     0      0   0                
1765  25 116 132 133    61.25   330.00   77428     0      0   0                
1766  25 117 134 134    61.25   332.86   77428     0      0   0                
1767  25 118 135 135    61.25   335.71   77428     0      0   0                
1768  25 119 136 136    61.25   338.57   77428     0      0   0                
1769  25 120 137 137    61.25   341.43   77428     0      0   0                
1770  25 121 138 138    61.25   344.29   77428     0      0   0                
1771  25 122 139 139    61.25   347.14   77428     0      0   0                
1772  25 123 140 141    61.25   350.00   77428     0      0   0                
1773  25 124 142 142    61.25   352.86   77428     0      0   0                
1774  25 125 143 143    61.25   355.71   77428     0      0   0                
1775  25 126 144 144    61.25   358.57   77428     0      0   0                
1776  26   1   1   1    63.75     1.40   77365     0      0   0                
1777  26   2   2   2    63.75     4.19   77365     0      0   0                
1778  26   3   3   3    63.75     6.98   77365     0      0   0                
1779  26   4   4   4    63.75     9.77   77365     0      0   0                
1780  26   5   5   6    63.75    12.56   77365     0      0   0                
1781  26   6   7   7    63.75    15.35   77365    69    548   7                
1782  26   7   8   8    63.75    18.14   77365   100   1097   6                
1783  26   8   9   9    63.75    20.93   77365   100    944   4                
1784  26   9  10  10    63.75    23.72   77365   100   1127   4                
1785  26  10  11  11    63.75    26.51   77365   100   1341   4                
1786  26  11  12  12    63.75    29.30   77365   100   1493   4                
1787  26  12  13  13    63.75    32.09   77365    81    304   4                
1788  26  13  14  15    63.75    34.88   77365     2      0   0                
1789  26  14  16  16    63.75    37.67   77365     0      0   0                
1790  26  15  17  17    63.75    40.47   77365     0      0   0                
1791  26  16  18  18    63.75    43.26   77365     3      0   0                
1792  26  17  19  19    63.75    46.05   77365    12      0   0                
1793  26  18  20  20    63.75    48.84   77365     0      0   0                
1794  26  19  21  21    63.75    51.63   77365     0      0   0                
1795  26  20  22  22    63.75    54.42   77365     0      0   0                
1796  26  21  23  23    63.75    57.21   77365     0      0   0                
1797  26  22  24  25    63.75    60.00   77365     0      0   0                
1798  26  23  26  26    63.75    62.79   77365     0      0   0                
1799  26  24  27  27    63.75    65.58   77365     0      0   0                
1800  26  25  28  28    63.75    68.37   77365     0      0   0                
1801  26  26  29  29    63.75    71.16   77365     0      0   0                
1802  26  27  30  30    63.75    73.95   77365     0      0   0                
1803  26  28  31  31    63.75    76.74   77365     0      0   0                
1804  26  29  32  32    63.75    79.53   77365     0      0   0                
1805  26  30  33  33    63.75    82.33   77365     0      0   0                
1806  26  31  34  35    63.75    85.12   77365     0      0   0                
1807  26  32  36  36    63.75    87.91   77365     0      0   0                
1808  26  33  37  37    63.75    90.70   77365     0      0   0                
1809  26  34  38  38    63.75    93.49   77365     0      0   0                
1810  26  35  39  39    63.75    96.28   77365     0      0   0                
1811  26  36  40  40    63.75    99.07   77365     0      0   0                
1812  26  37  41  41    63.75   101.86   77365     0      0   0                
1813  26  38  42  42    63.75   104.65   77365     0      0   0                
1814  26  39  43  44    63.75   107.44   77365     0      0   0                
1815  26  40  45  45    63.75   110.23   77365     0      0   0                
1816  26  41  46  46    63.75   113.02   77365    29      0   0                
1817  26  42  47  47    63.75   115.81   77365   100    274   6                
1818  26  43  48  48    63.75   118.60   77365   100    548   6                
1819  26  44  49  49    63.75   121.40   77365   100    518   4                
1820  26  45  50  50    63.75   124.19   77365   100    487   7                
1821  26  46  51  51    63.75   126.98   77365   100    487   7                
1822  26  47  52  52    63.75   129.77   77365   100    640   4                
1823  26  48  53  54    63.75   132.56   77365   100    487   4                
1824  26  49  55  55    63.75   135.35   77365   100    152   4                
1825  26  50  56  56    63.75   138.14   77365   100     30   7                
1826  26  51  57  57    63.75   140.93   77365   100     91   4                
1827  26  52  58  58    63.75   143.72   77365   100    182   6                
1828  26  53  59  59    63.75   146.51   77365   100    365   6                
1829  26  54  60  60    63.75   149.30   77365   100    365   3                
1830  26  55  61  61    63.75   152.09   77365    87    243   3                
1831  26  56  62  63    63.75   154.88   77365     0      0   0                
1832  26  57  64  64    63.75   157.67   77365     0      0   0                
1833  26  58  65  65    63.75   160.47   77365     0      0   0                
1834  26  59  66  66    63.75   163.26   77365     0      0   0                
1835  26  60  67  67    63.75   166.05   77365     0      0   0                
1836  26  61  68  68    63.75   168.84   77365     0      0   0                
1837  26  62  69  69    63.75   171.63   77365     0      0   0                
1838  26  63  70  70    63.75   174.42   77365     0      0   0                
1839  26  64  71  71    63.75   177.21   77365     0      0   0                
1840  26  65  72  73    63.75   180.00   77365     0      0   0                
1841  26  66  74  74    63.75   182.79   77365     0      0   0                
1842  26  67  75  75    63.75   185.58   77365     0      0   0                
1843  26  68  76  76    63.75   188.37   77365     0      0   0                
1844  26  69  77  77    63.75   191.16   77365     0      0   0                
1845  26  70  78  78    63.75   193.95   77365     0      0   0                
1846  26  71  79  79    63.75   196.74   77365     0      0   0                
1847  26  72  80  80    63.75   199.53   77365     0      0   0                
1848  26  73  81  81    63.75   202.33   77365     0      0   0                
1849  26  74  82  83    63.75   205.12   77365     0      0   0                
1850  26  75  84  84    63.75   207.91   77365     0      0   0                
1851  26  76  85  85    63.75   210.70   77365     0      0   0                
1852  26  77  86  86    63.75   213.49   77365     0      0   0                
1853  26  78  87  87    63.75   216.28   77365     0      0   0                
1854  26  79  88  88    63.75   219.07   77365     0      0   0                
1855  26  80  89  89    63.75   221.86   77365     0      0   0                
1856  26  81  90  90    63.75   224.65   77365     0      0   0                
1857  26  82  91  92    63.75   227.44   77365     0      0   0                
1858  26  83  93  93    63.75   230.23   77365     1      0   0                
1859  26  84  94  94    63.75   233.02   77365     0      0   0                
1860  26  85  95  95    63.75   235.81   77365     0      0   0                
1861  26  86  96  96    63.75   238.60   77365     0      0   0                
1862  26  87  97  97    63.75   241.40   77365     0      0   0                
1863  26  88  98  98    63.75   244.19   77365     0      0   0                
1864  26  89  99  99    63.75   246.98   77365     0      0   0                
1865  26  90 100 100    63.75   249.77   77365     1      0   0                
1866  26  91 101 102    63.75   252.56   77365     0      0   0                
1867  26  92 103 103    63.75   255.35   77365     0      0   0                
1868  26  93 104 104    63.75   258.14   77365     0      0   0                
1869  26  94 105 105    63.75   260.93   77365     0      0   0                
1870  26  95 106 106    63.75   263.72   77365     0      0   0                
1871  26  96 107 107    63.75   266.51   77365     0      0   0                
1872  26  97 108 108    63.75   269.30   77365     0      0   0                
1873  26  98 109 109    63.75   272.09   77365     0      0   0                
1874  26  99 110 111    63.75   274.88   77365     0      0   0                
1875  26 100 112 112    63.75   277.67   77365     0      0   0                
1876  26 101 113 113    63.75   280.46   77365     0      0   0                
1877  26 102 114 114    63.75   283.26   77365     0      0   0                
1878  26 103 115 115    63.75   286.05   77365     0      0   0                
1879  26 104 116 116    63.75   288.84   77365    38    457   0                
1880  26 105 117 117    63.75   291.63   77365   100   3992   4                
1881  26 106 118 118    63.75   294.42   77365   100   1767   4                
1882  26 107 119 119    63.75   297.21   77365   100    152   6                
1883  26 108 120 121    63.75   300.00   77365   100     60   6                
1884  26 109 122 122    63.75   302.79   77365   100    121   6                
1885  26 110 123 123    63.75   305.58   77365   100    304   2                
1886  26 111 124 124    63.75   308.37   77365   100    761   3                
1887  26 112 125 125    63.75   311.16   77365    65    335   0                
1888  26 113 126 126    63.75   313.95   77365     0      0   0                
1889  26 114 127 127    63.75   316.74   77365     0      0   0                
1890  26 115 128 128    63.75   319.53   77365     0      0   0                
1891  26 116 129 129    63.75   322.33   77365     0      0   0                
1892  26 117 130 131    63.75   325.12   77365     0      0   0                
1893  26 118 132 132    63.75   327.91   77365     0      0   0                
1894  26 119 133 133    63.75   330.70   77365     0      0   0                
1895  26 120 134 134    63.75   333.49   77365     0      0   0                
1896  26 121 135 135    63.75   336.28   77365     0      0   0                
1897  26 122 136 136    63.75   339.07   77365     0      0   0                
1898  26 123 137 137    63.75   341.86   77365     0      0   0                
1899  26 124 138 138    63.75   344.65   77365     0      0   0                
1900  26 125 139 140    63.75   347.44   77365     0      0   0                
1901  26 126 141 141    63.75   350.23   77365     0      0   0                
1902  26 127 142 142    63.75   353.02   77365     0      0   0                
1903  26 128 143 143    63.75   355.81   77365     0      0   0                
1904  26 129 144 144    63.75   358.60   77365     0      0   0                
1905  27   1   1   1    66.25     1.36   77161     0      0   0                
1906  27   2   2   2    66.25     4.09   77161     0      0   0                
1907  27   3   3   3    66.25     6.82   77161     0      0   0                
1908  27   4   4   4    66.25     9.55   77161     0      0   0                
1909  27   5   5   5    66.25    12.27   77161     0      0   0                
1910  27   6   6   7    66.25    15.00   77161    73    579   7                
1911  27   7   8   8    66.25    17.73   77161   100   1402   4                
1912  27   8   9   9    66.25    20.45   77161   100   1188   4                
1913  27   9  10  10    66.25    23.18   77161   100   1036   4                
1914  27  10  11  11    66.25    25.91   77161   100   1005   4                
1915  27  11  12  12    66.25    28.64   77161   100   1036   4                
1916  27  12  13  13    66.25    31.36   77161   100    426   4                
1917  27  13  14  14    66.25    34.09   77161    92     60   4                
1918  27  14  15  15    66.25    36.82   77161     2      0   0                
1919  27  15  16  16    66.25    39.55   77161     0      0   0                
1920  27  16  17  17    66.25    42.27   77161    11      0   0                
1921  27  17  18  19    66.25    45.00   77161    99    457   4                
1922  27  18  20  20    66.25    47.73   77161    41    182   0                
1923  27  19  21  21    66.25    50.45   77161     0      0   0                
1924  27  20  22  22    66.25    53.18   77161     0      0   0                
1925  27  21  23  23    66.25    55.91   77161     0      0   0                
1926  27  22  24  24    66.25    58.64   77161     0      0   0                
1927  27  23  25  25    66.25    61.36   77161     0      0   0                
1928  27  24  26  26    66.25    64.09   77161     0      0   0                
1929  27  25  27  27    66.25    66.82   77161     0      0   0                
1930  27  26  28  28    66.25    69.55   77161     0      0   0                
1931  27  27  29  29    66.25    72.27   77161     0      0   0                
1932  27  28  30  31    66.25    75.00   77161     0      0   0                
1933  27  29  32  32    66.25    77.73   77161     0      0   0                
1934  27  30  33  33    66.25    80.45   77161     0      0   0                
1935  27  31  34  34    66.25    83.18   77161     0      0   0                
1936  27  32  35  35    66.25    85.91   77161     0      0   0                
1937  27  33  36  36    66.25    88.64   77161     0      0   0                
1938  27  34  37  37    66.25    91.36   77161     0      0   0                
1939  27  35  38  38    66.25    94.09   77161     0      0   0                
1940  27  36  39  39    66.25    96.82   77161     0      0   0                
1941  27  37  40  40    66.25    99.55   77161     0      0   0                
1942  27  38  41  41    66.25   102.27   77161     0      0   0                
1943  27  39  42  43    66.25   105.00   77161     0      0   0                
1944  27  40  44  44    66.25   107.73   77161     0      0   0                
1945  27  41  45  45    66.25   110.45   77161     0      0   0                
1946  27  42  46  46    66.25   113.18   77161    45      0   0                
1947  27  43  47  47    66.25   115.91   77161   100    304   6                
1948  27  44  48  48    66.25   118.64   77161   100    518   4                
1949  27  45  49  49    66.25   121.36   77161   100    396   7                
1950  27  46  50  50    66.25   124.09   77161   100    396   7                
1951  27  47  51  51    66.25   126.82   77161   100    426   7                
1952  27  48  52  52    66.25   129.55   77161   100    518   7                
1953  27  49  53  53    66.25   132.27   77161   100    609   4                
1954  27  50  54  55    66.25   135.00   77161   100    396   4                
1955  27  51  56  56    66.25   137.73   77161   100    152   4                
1956  27  52  57  57    66.25   140.45   77161   100    121   4                
1957  27  53  58  58    66.25   143.18   77161   100    182   4                
1958  27  54  59  59    66.25   145.91   77161   100    335   3                
1959  27  55  60  60    66.25   148.64   77161   100    304   6                
1960  27  56  61  61    66.25   151.36   77161    52     91   0                
1961  27  57  62  62    66.25   154.09   77161     1      0   0                
1962  27  58  63  63    66.25   156.82   77161     0      0   0                
1963  27  59  64  64    66.25   159.55   77161     0      0   0                
1964  27  60  65  65    66.25   162.27   77161     0      0   0                
1965  27  61  66  67    66.25   165.00   77161     0      0   0                
1966  27  62  68  68    66.25   167.73   77161     0      0   0                
1967  27  63  69  69    66.25   170.45   77161     0      0   0                
1968  27  64  70  70    66.25   173.18   77161     0      0   0                
1969  27  65  71  71    66.25   175.91   77161     0      0   0                
1970  27  66  72  72    66.25   178.64   77161     0      0   0                
1971  27  67  73  73    66.25   181.36   77161     0      0   0                
1972  27  68  74  74    66.25   184.09   77161     0      0   0                
1973  27  69  75  75    66.25   186.82   77161     0      0   0                
1974  27  70  76  76    66.25   189.55   77161     0      0   0                
1975  27  71  77  77    66.25   192.27   77161     0      0   0                
1976  27  72  78  79    66.25   195.00   77161     0      0   0                
1977  27  73  80  80    66.25   197.73   77161     0      0   0                
1978  27  74  81  81    66.25   200.45   77161     0      0   0                
1979  27  75  82  82    66.25   203.18   77161     0      0   0                
1980  27  76  83  83    66.25   205.91   77161     0      0   0                
1981  27  77  84  84    66.25   208.64   77161     0      0   0                
1982  27  78  85  85    66.25   211.36   77161     0      0   0                
1983  27  79  86  86    66.25   214.09   77161     0      0   0                
1984  27  80  87  87    66.25   216.82   77161     0      0   0                
1985  27  81  88  88    66.25   219.55   77161     0      0   0                
1986  27  82  89  89    66.25   222.27   77161     2      0   0                
1987  27  83  90  91    66.25   225.00   77161     0      0   0                
1988  27  84  92  92    66.25   227.73   77161     0      0   0                
1989  27  85  93  93    66.25   230.45   77161     0      0   0                
1990  27  86  94  94    66.25   233.18   77161     0      0   0                
1991  27  87  95  95    66.25   235.91   77161     2      0   0                
1992  27  88  96  96    66.25   238.64   77161     0      0   0                
1993  27  89  97  97    66.25   241.36   77161     0      0   0                
1994  27  90  98  98    66.25   244.09   77161     0      0   0                
1995  27  91  99  99    66.25   246.82   77161     0      0   0                
1996  27  92 100 100    66.25   249.55   77161     0      0   0                
1997  27  93 101 101    66.25   252.27   77161     0      0   0                
1998  27  94 102 103    66.25   255.00   77161     0      0   0                
1999  27  95 104 104    66.25   257.73   77161     0      0   0                
2000  27  96 105 105    66.25   260.45   77161     0      0   0                
2001  27  97 106 106    66.25   263.18   77161     0      0   0                
2002  27  98 107 107    66.25   265.91   77161     0      0   0                
2003  27  99 108 108    66.25   268.64   77161     0      0   0                
2004  27 100 109 109    66.25   271.36   77161     0      0   0                
2005  27 101 110 110    66.25   274.09   77161     0      0   0                
2006  27 102 111 111    66.25   276.82   77161     0      0   0                
2007  27 103 112 112    66.25   279.55   77161     0      0   0                
2008  27 104 113 113    66.25   282.27   77161     0      0   0                
2009  27 105 114 115    66.25   285.00   77161     0      0   0                
2010  27 106 116 116    66.25   287.73   77161     0      0   0                
2011  27 107 117 117    66.25   290.45   77161    86   1950   6                
2012  27 108 118 118    66.25   293.18   77161   100   3992   4                
2013  27 109 119 119    66.25   295.91   77161   100    792   6                
2014  27 110 120 120    66.25   298.64   77161   100    152   6                
2015  27 111 121 121    66.25   301.36   77161   100     91   6                
2016  27 112 122 122    66.25   304.09   77161   100    274   2                
2017  27 113 123 123    66.25   306.82   77161   100    396   2                
2018  27 114 124 124    66.25   309.55   77161   100    609   2                
2019  27 115 125 125    66.25   312.27   77161    87    518   2                
2020  27 116 126 127    66.25   315.00   77161    38    304   0                
2021  27 117 128 128    66.25   317.73   77161    10      0   0                
2022  27 118 129 129    66.25   320.45   77161     0      0   0                
2023  27 119 130 130    66.25   323.18   77161     0      0   0                
2024  27 120 131 131    66.25   325.91   77161     0      0   0                
2025  27 121 132 132    66.25   328.64   77161     0      0   0                
2026  27 122 133 133    66.25   331.36   77161     0      0   0                
2027  27 123 134 134    66.25   334.09   77161     0      0   0                
2028  27 124 135 135    66.25   336.82   77161     0      0   0                
2029  27 125 136 136    66.25   339.55   77161     0      0   0                
2030  27 126 137 137    66.25   342.27   77161     0      0   0                
2031  27 127 138 139    66.25   345.00   77161     0      0   0                
2032  27 128 140 140    66.25   347.73   77161     0      0   0                
2033  27 129 141 141    66.25   350.45   77161     0      0   0                
2034  27 130 142 142    66.25   353.18   77161     0      0   0                
2035  27 131 143 143    66.25   355.91   77161     0      0   0                
2036  27 132 144 144    66.25   358.64   77161     0      0   0                
2037  28   1   1   1    68.75     1.34   77396     0      0   0                
2038  28   2   2   2    68.75     4.03   77396     0      0   0                
2039  28   3   3   3    68.75     6.72   77396     0      0   0                
2040  28   4   4   4    68.75     9.40   77396     0      0   0                
2041  28   5   5   5    68.75    12.09   77396     7      0   0                
2042  28   6   6   6    68.75    14.78   77396    93    731   6                
2043  28   7   7   8    68.75    17.46   77396   100   1432   4                
2044  28   8   9   9    68.75    20.15   77396   100   1188   4                
2045  28   9  10  10    68.75    22.84   77396   100    975   4                
2046  28  10  11  11    68.75    25.52   77396   100    944   4                
2047  28  11  12  12    68.75    28.21   77396   100    944   4                
2048  28  12  13  13    68.75    30.90   77396   100    579   4                
2049  28  13  14  14    68.75    33.58   77396    97    182   4                
2050  28  14  15  15    68.75    36.27   77396     9      0   0                
2051  28  15  16  16    68.75    38.96   77396     0      0   0                
2052  28  16  17  17    68.75    41.64   77396     0      0   0                
2053  28  17  18  18    68.75    44.33   77396    80    213   4                
2054  28  18  19  19    68.75    47.01   77396    94    792   4                
2055  28  19  20  20    68.75    49.70   77396     4      0   0                
2056  28  20  21  21    68.75    52.39   77396     0      0   0                
2057  28  21  22  23    68.75    55.07   77396     5     30   0                
2058  28  22  24  24    68.75    57.76   77396     4      0   0                
2059  28  23  25  25    68.75    60.45   77396     0      0   0                
2060  28  24  26  26    68.75    63.13   77396     0      0   0                
2061  28  25  27  27    68.75    65.82   77396     0      0   0                
2062  28  26  28  28    68.75    68.51   77396     0      0   0                
2063  28  27  29  29    68.75    71.19   77396     0      0   0                
2064  28  28  30  30    68.75    73.88   77396     0      0   0                
2065  28  29  31  31    68.75    76.57   77396     0      0   0                
2066  28  30  32  32    68.75    79.25   77396     0      0   0                
2067  28  31  33  33    68.75    81.94   77396     0      0   0                
2068  28  32  34  34    68.75    84.63   77396     0      0   0                
2069  28  33  35  35    68.75    87.31   77396     0      0   0                
2070  28  34  36  37    68.75    90.00   77396     0      0   0                
2071  28  35  38  38    68.75    92.69   77396     0      0   0                
2072  28  36  39  39    68.75    95.37   77396     0      0   0                
2073  28  37  40  40    68.75    98.06   77396     0      0   0                
2074  28  38  41  41    68.75   100.75   77396     0      0   0                
2075  28  39  42  42    68.75   103.43   77396     0      0   0                
2076  28  40  43  43    68.75   106.12   77396     0      0   0                
2077  28  41  44  44    68.75   108.81   77396     0      0   0                
2078  28  42  45  45    68.75   111.49   77396     0      0   0                
2079  28  43  46  46    68.75   114.18   77396    23      0   0                
2080  28  44  47  47    68.75   116.87   77396    75    182   4                
2081  28  45  48  48    68.75   119.55   77396    98    182   4                
2082  28  46  49  49    68.75   122.24   77396   100    243   7                
2083  28  47  50  51    68.75   124.93   77396   100    274   7                
2084  28  48  52  52    68.75   127.61   77396   100    365   7                
2085  28  49  53  53    68.75   130.30   77396   100    426   7                
2086  28  50  54  54    68.75   132.99   77396   100    426   4                
2087  28  51  55  55    68.75   135.67   77396   100    304   4                
2088  28  52  56  56    68.75   138.36   77396   100    243   4                
2089  28  53  57  57    68.75   141.04   77396   100    213   4                
2090  28  54  58  58    68.75   143.73   77396   100    304   4                
2091  28  55  59  59    68.75   146.42   77396   100    304   3                
